"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Pinus","nigra","20","2","-2.76348597676015","0.173722758509619","-0.00225542630391276","0.0236603013455748","0.962629923972777","-7.43617337019123","0.17448849421092","-0.00226462934452425","0.0227785926342741","0.965741347031877"
"data","Pinus","nigra","20","3","-2.48211106318771","0.26073698132398","-0.00548387201306835","0.452037627690581","0.655412804243179","-7.13359564476604","0.256706021571501","-0.00540345920522541","0.444622548582381","0.657571023280075"
"data","Pinus","nigra","25","1","-2.58102240514049","0.16311048763308","-0.00223553582790453","0.177651051130478","0.688169159288186","-7.04981496984921","0.163457284216096","-0.00224072859200017","0.176506264527937","0.692375719814219"
"data","Pinus","nigra","25","2","-1.61538835142341","0.0615379331166432","-0.000463393162919101","0.0414109855926044","0.961585704341556","-6.2961236457518","0.0611160169335971","-0.000457010878796897","0.0387963076196666","0.966092870877782"
"data","Pinus","nigra","25","3","-1.20375111989018","0.0971534947361726","-0.00215134019587532","0.163242482691363","0.743015998192715","-5.7366804850923","0.0968945775102716","-0.00214855032950968","0.163449724969289","0.743257905011195"
"data","Pinus","nigra","30","1","-0.861630737506992","-0.0525266243613497","0.00138523603223386","0.218844185145302","0.441176690040939","-5.4624182250602","-0.0535397273241987","0.00140158508939115","0.215869980267572","0.452241319634612"
"data","Pinus","nigra","30","3","-4.78819829265781","0.314327014165473","-0.00509913352968257","0.211030664380644","0.751962570053736","-9.38760752408861","0.316693802400588","-0.00514417327503834","0.215051578692368","0.747203053688588"
"data","Pinus","nigra","35","1","-1.98844979656982","0.124566150039212","-0.00197745265091674","0.199135366052796","0.0486689242485083","-6.45199868318873","0.123712390727967","-0.00195816574430635","0.19741762909948","0.0557266868291353"
"data","Pinus","nigra","35","2","-2.36495524127671","0.211454571238613","-0.00371017747950037","0.267568275908709","0.0439325015669898","-7.00497158964898","0.210362650946356","-0.00369428435145728","0.26917214327381","0.0352037286585086"
"data","Pinus","pinaster","15","2","-4.24436435292668","0.261965299163938","-0.00361469374561678","0.056554607985508","0.984706681483682","-8.70885299833967","0.260736698436447","-0.00359617587275855","0.0559036885615032","0.984951657912908"
"data","Pinus","pinaster","20","2","-4.26029747867795","0.276677582680079","-0.00403331095332697","0.19179168066723","0.798933289067013","-8.6758061092431","0.277270739313142","-0.00404445422848696","0.193287706300258","0.796207150817432"
"data","Pinus","pinaster","25","1","-2.19285150063205","0.170750378304014","-0.00261985938468601","0.162770822533623","0.56860346102052","-6.56838728411117","0.170440951550036","-0.00261816629389389","0.161550058121428","0.570272815217312"
"data","Pinus","pinaster","25","2","-1.84765238610452","0.118499828101327","-0.00165164032421319","0.162890163534051","0.462584778296712","-6.17144569940306","0.118602044033443","-0.00165035051180639","0.1633700055302","0.463962672395316"
"data","Pinus","pinaster","25","3","0.234878806131938","0.0463431502505798","-0.000736089877556292","0.0721918748345706","0.111010374862507","-4.37514327282346","0.0456496683784792","-0.000724924804943004","0.0728825033660742","0.0868533709842545"
"data","Pinus","pinaster","30","1","-2.24093085580306","0.0690875732563229","-0.00116293840297367","0.0970726313844545","0.132435760069262","-6.78091143642127","0.0670105340362399","-0.00113143782247272","0.0949096329616367","0.127014234307802"
"data","Pinus","pinaster","30","2","-2.61265013445934","0.2013131830458","-0.00408863809797011","0.0491197206859606","0.958272209856221","-7.10384553960462","0.199387181646009","-0.00404878164129507","0.0479009493294428","0.959472997973"
"data","Pinus","pinaster","35","1","-5.08550897988231","0.385457384720854","-0.00639692663843751","0.182300986754106","0.687999680741165","-9.57753306862473","0.386002756803384","-0.00640290073246926","0.17859354394416","0.70010809649816"
"data","Pinus","pinaster","35","2","-1.77986833944834","0.0766252313468832","-0.00073090681759722","0.106260167870586","0.82655817485009","-6.1590938992319","0.0737707679438749","-0.000685741443277329","0.10620096486724","0.8243239235586"
